Date,Open,High,Low,Close,Volume,Daily_Return,Price_Range,MA_30,MA_100,scraped_news_count,scraped_sources,scraped_titles,api_news_count,avg_api_sentiment,avg_tsla_sentiment,avg_tsla_relevance,api_sentiment_labels,tsla_sentiment_labels,api_titles,has_stock_data,total_news_count
2026-06-15,412.37,416.0,407.1,411.15,45620514.0,0.0116133159461653,8.899999999999977,417.1263333333333,401.392463,0,,,0,0.0,0.0,0.0,,,,True,0
2026-06-16,404.11,412.42,400.54,404.66,40255473.0,-0.0157849933114434,11.879999999999995,417.53133333333335,400.945463,1,Barron's,Tesla Stock Falls. It Can’t Escape SpaceX’s Gravity. - Barron's,0,0.0,0.0,0.0,,,,True,1
2026-06-17,401.53,405.94,393.76,396.38,43534299.0,-0.0204616221025059,12.180000000000009,417.765,400.4186629999999,1,Barron's,Tesla Stock Is Down. An Argentina Charger Deal Won’t Help. - Barron's,0,0.0,0.0,0.0,,,,True,1
2026-06-18,398.095,402.52,384.7,400.49,58384713.0,0.0103688379837529,17.819999999999993,417.8236666666667,400.071563,3,"Bloomberg.com, Yahoo Finance, simplywall.st",Tesla Stock And 2 Fast Growing Insider Owned Plays To Watch - simplywall.st | Will Tesla Be Acquired by SpaceX? And Does That Make Tesla Stock a Buy? - Yahoo Finance | Tesla Stock Underperforms SpaceX in First Week After IPO - Bloomberg.com,0,0.0,0.0,0.0,,,,True,3
2026-06-19,,,,,,,,,,2,"Barron's, Yahoo Finance","If You'd Invested $10,000 in Tesla 10 Years Ago, Here's How Much You'd Have Today - Yahoo Finance | Tesla Gets Cathie Wood Boost as Ark Returns to EV Stock After SpaceX Buy - Barron's",0,0.0,0.0,0.0,,,,False,2
2026-06-22,394.85,414.75,394.4,405.05,47819486.0,0.0113860520861943,20.350000000000023,417.599,399.813063,0,,,0,0.0,0.0,0.0,,,,True,0
2026-06-23,392.61,392.87,379.06,381.61,50420210.0,-0.0578693988396493,13.810000000000002,416.041,399.314563,3,"Barron's, The Motley Fool, Yahoo Finance","Why Tesla Stock Dropped on Tuesday - The Motley Fool | Why Tesla Stock Dropped on Tuesday - Yahoo Finance | Tesla Stock Hit by Fatal Crash Investigation, SpaceX Slide - Barron's",0,0.0,0.0,0.0,,,,True,3
2026-06-24,380.08,384.58,373.05,375.53,37081421.0,-0.0159324965278688,11.529999999999973,413.72533333333325,398.904263,3,"The Guardian, Trefis, thestreet.com",Elon Musk loses trillionaire status as SpaceX and Tesla stock drops - The Guardian | Why a fatal crash threatens Tesla’s stock - thestreet.com | Can You Stomach Tesla Stock’s Real Drawdowns? - Trefis,0,0.0,0.0,0.0,,,,True,3
2026-06-25,375.27,379.117,371.221,375.12,30259987.0,-0.001091790269752,7.896000000000015,411.781,398.351363,3,"24/7 Wall St., The Motley Fool, Yahoo Finance",Tesla Stock Price Prediction: Why The EV Maker Is Sitting Right at Fair Value - 24/7 Wall St. | Tesla Stock Price Prediction: Why The EV Maker Is Sitting Right at Fair Value - Yahoo Finance | Is Tesla Stock Better Than SpaceX? The Answer Might Surprise You. - The Motley Fool,0,0.0,0.0,0.0,,,,True,3
2026-06-26,370.15,387.8,368.6,379.71,53434138.0,0.0122360844529749,19.19999999999999,409.59566666666666,397.930363,1,Barron's,Tesla Stock Is Having a Bad Week and an Even Worse Month - Barron's,0,0.0,0.0,0.0,,,,True,1
2026-06-29,381.79,413.27,379.3,411.84,57645798.0,0.0846172078691633,33.96999999999997,408.547,397.8291630000001,21,"Barron's, Benzinga, Forbes, Investing.com, Investor's Business Daily, MarketWatch, Moomoo, The Motley Fool, TradingKey, TradingView, Yahoo Finance, simplywall.st",These 2 Industrial Giants Have Crushed Tesla's Returns Over the Last 12 Months. Will The Party Continue? - The Motley Fool | These 2 Industrial Giants Have Crushed Tesla's Returns Over the Last 12 Months. Will The Party Continue? - Yahoo Finance | Tesla's Stock Rips Higher After a Long-awaited Update to Self-driving Technology - Moomoo,0,0.0,0.0,0.0,,,,True,21
2026-06-30,406.0,424.54,406.0,420.6,43385619.0,0.0212703962703963,18.54000000000002,408.49233333333336,397.975063,29,"24/7 Wall St., Barron's, BeInCrypto, Benzinga, Electrek, GuruFocus, Investing.com, Investor's Business Daily, MarketBeat, NAI500, Seeking Alpha, StockInvest.us, TIKR.com, The Globe and Mail, The Motley Fool, TradingView, Trefis, WEEX, Yahoo Finance, foreignpolicyjournal.com, simplywall.st","Michael Burry bets against Tesla, Nvidia in new AI bubble short positions - Investing.com | Rivian Automotive vs. Tesla: Which Automotive Stock Is a Better Buy in 2026? - The Motley Fool | Tesla (NASDAQ: TSLA) Stock Price Could Surge After Q2 Delivery Report And Optimus 3 Reveal - foreignpolicyjournal.com",0,0.0,0.0,0.0,,,,True,29
2026-07-01,,,,,,,,,,19,"36Kr, AOL.com, Barron's, FXLeaders, GuruFocus, MarketBeat, Moomoo, Pluang, Seeking Alpha, StockInvest.us, The Cryptonomist, Yahoo Finance, simplywall.st, 富途牛牛",Tesla Stock Rides a 10% Weekly Gain Into a High-Stakes Delivery Report - Barron's | $Tesla (TSLA.US)$ - Moomoo | Tesla (TSLA) Stock Hits $420 in July 2026 — AI Robotaxi & Optimus Hype Fuels Volatility - FXLeaders,0,0.0,0.0,0.0,,,,False,19
